method,image_path,segmentation_path,skeleton_path,precision,recall,f1_score,parameters
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
skeleton_segmentation,./images_IOSTAR/star01_OSC.jpg,media/results/skeleton_segmentation_s1_segmentation.png,media/results/skeleton_segmentation_s1_skeleton.png,0.8544198895027625,0.4538517975055026,0.5928126497364639,{'s': 1}
